date,open,high,low,close,volume
2019-07-24,76.2,76.93,75.4,75.68,11968548.0
2019-07-25,75.7,76.75,75.3,75.81,11840107.0
2019-07-26,75.36,77.77,75.36,76.66,11526351.0
2019-07-29,76.52,77.4,76.01,76.68,7037596.0
2019-07-30,76.9,78.49,76.14,77.76,9645886.0
2019-07-31,77.6,77.6,76.0,76.0,6622124.0
2019-08-01,75.9,76.93,75.28,75.8,6750326.0
2019-08-02,73.99,75.6,73.75,75.28,7166010.0
2019-08-05,74.7,75.2,72.88,73.0,8991667.0
2019-08-06,70.8,72.69,70.51,72.15,8493825.0
2019-08-07,72.5,74.55,72.44,73.33,8604899.0
2019-08-08,74.0,74.18,72.8,73.08,3874396.0
2019-08-09,73.97,73.97,71.51,71.93,4732689.0
2019-08-12,71.81,73.4,71.53,73.37,4253610.0
2019-08-13,72.82,74.29,72.58,73.47,5309490.0
2019-08-14,74.0,75.09,73.5,73.5,6324864.0
2019-08-15,71.95,74.2,71.71,74.17,4622234.0
2019-08-16,74.0,74.2,73.03,73.22,6954025.0
2019-08-19,73.7,76.2,73.22,76.2,10512285.0
2019-08-20,76.18,76.35,75.16,75.43,6819064.0
2019-08-21,75.22,76.95,75.22,75.8,6533092.0
2019-08-22,76.0,76.0,75.0,75.6,4917499.0
2019-08-23,75.59,75.59,71.92,73.9,16565181.0
2019-08-26,72.89,73.73,72.5,72.77,9127893.0
2019-08-27,73.36,74.53,73.11,73.3,9605221.0
2019-08-28,74.17,74.27,72.36,72.52,8640082.0
2019-08-29,72.51,72.53,71.03,71.08,10076080.0
2019-08-30,71.46,72.88,70.56,72.27,11896719.0
2019-09-02,72.19,73.14,71.89,72.96,9806682.0
2019-09-03,72.71,72.9,70.84,71.2,13019463.0
2019-09-04,70.88,71.38,69.9,71.18,11710654.0
2019-09-05,71.21,72.39,71.21,71.3,12301592.0
2019-09-06,71.45,72.3,71.45,71.86,8292198.0
2019-09-09,72.51,77.0,72.06,77.0,25802948.0
2019-09-10,77.33,77.75,76.45,77.22,18827878.0
2019-09-11,77.9,81.08,77.36,77.77,21230612.0
2019-09-12,78.2,79.7,77.3,78.0,15404790.0
2019-09-16,78.99,79.3,76.32,76.7,13527921.0
2019-09-17,76.58,76.58,74.21,74.52,14317599.0
2019-09-18,75.05,75.46,74.45,74.59,10085597.0
2019-09-19,74.59,76.0,74.59,75.38,14132303.0
2019-09-20,75.52,76.12,74.6,74.86,12802741.0
2019-09-23,74.87,74.88,72.3,72.99,12309884.0
2019-09-24,73.14,73.92,72.06,72.73,12842670.0
2019-09-25,72.6,73.78,71.85,72.96,13395325.0
2019-09-26,73.2,73.35,71.02,71.45,13092362.0
2019-09-27,71.45,71.89,71.06,71.46,7143729.0
2019-09-30,71.8,72.07,71.16,71.5,6760707.0
2019-10-08,71.61,71.98,70.2,70.26,8735710.0
2019-10-09,70.01,70.03,68.38,69.1,13221857.0
2019-10-10,70.07,71.64,69.76,70.9,12285154.0
2019-10-11,71.17,72.14,70.33,71.46,9492562.0
2019-10-14,71.9,72.0,70.5,70.85,12203588.0
2019-10-15,70.85,72.1,70.66,70.97,8935077.0
2019-10-16,71.01,71.33,69.5,69.69,8123690.0
2019-10-17,69.7,69.97,68.89,69.3,7245504.0
2019-10-18,69.6,70.32,69.36,70.09,7628238.0
2019-10-21,70.28,70.28,69.0,69.64,5043168.0
2019-10-22,70.0,70.92,70.0,70.72,6927358.0
2019-10-23,70.7,71.15,70.05,70.76,6317648.0
2019-10-24,70.93,71.95,70.88,71.63,9043248.0
2019-10-25,71.7,71.75,70.56,71.02,5389714.0
2019-10-28,70.05,70.82,69.68,70.81,9966286.0
2019-10-29,70.89,70.89,69.13,69.28,9865652.0
2019-10-30,69.0,69.72,68.38,69.52,7561367.0
2019-10-31,69.38,69.83,68.68,68.71,5626806.0
2019-11-01,68.52,69.4,68.42,69.33,5613492.0
2019-11-04,69.6,69.99,69.1,69.93,8286601.0
2019-11-05,70.31,74.35,69.93,73.48,23782533.0
2019-11-06,76.27,78.88,75.35,75.9,44148150.0
2019-11-07,75.3,76.91,74.13,75.3,21663334.0
2019-11-08,75.9,77.2,75.0,75.62,19035838.0
2019-11-11,74.78,75.4,73.7,73.7,9991343.0
2019-11-12,74.0,75.3,73.55,74.45,9084273.0
2019-11-13,74.8,74.89,73.79,73.94,6735241.0
2019-11-14,74.4,74.85,73.81,74.1,6725875.0
2019-11-15,74.29,74.29,71.6,72.6,10722051.0
2019-11-18,72.88,73.19,72.15,72.87,4495507.0
2019-11-19,73.28,76.97,72.88,76.94,18631350.0
2019-11-20,76.83,78.1,76.2,76.3,11246809.0
2019-11-21,76.7,78.1,76.3,77.15,12442467.0
2019-11-22,82.0,84.6,79.46,80.5,42347174.0
2019-11-25,81.35,83.65,81.0,83.58,28083768.0
2019-11-26,82.99,89.6,81.9,88.0,39148358.0
2019-11-27,87.45,88.86,85.97,87.25,19444274.0
2019-11-28,86.7,89.6,86.15,87.41,14522464.0
2019-11-29,87.12,88.9,85.38,87.41,12922196.0
2019-12-02,88.2,88.32,85.8,87.1,11901718.0
2019-12-03,87.0,87.25,84.59,86.4,15689440.0
2019-12-04,86.36,88.76,85.18,86.7,16878594.0
2019-12-05,87.02,93.46,86.96,92.0,26362986.0
2019-12-06,91.7,93.39,91.1,93.0,13437736.0
2019-12-09,93.5,93.5,90.9,92.89,14749903.0
2019-12-10,92.0,94.44,91.3,93.35,12694910.0
2019-12-11,93.35,94.19,90.5,91.49,13325522.0
2019-12-12,91.46,92.9,89.22,89.7,14878693.0
2019-12-13,91.53,93.4,90.32,93.0,18289816.0
2019-12-16,92.54,92.87,91.28,92.3,18217880.0
2019-12-17,94.8,97.19,94.44,95.39,27739358.0
2019-12-18,94.46,94.5,92.17,93.19,18640537.0
2019-12-19,93.5,93.58,91.52,93.25,10843349.0
2019-12-20,93.24,94.88,92.71,92.78,10357947.0
2019-12-23,92.0,95.39,91.56,92.9,14142900.0
2019-12-24,93.2,100.09,93.2,99.5,29704390.0
2019-12-25,99.35,105.48,98.15,105.3,23307715.0
2019-12-26,105.0,106.98,102.68,105.12,14841677.0
2019-12-27,105.12,110.0,103.15,104.2,24054959.0
2019-12-30,106.57,110.5,105.0,110.0,23577964.0
2019-12-31,109.86,110.35,105.54,106.4,21500700.0
2020-01-02,107.21,108.85,105.7,107.52,20611589.0
2020-01-03,107.52,110.19,105.97,109.55,18084178.0
2020-01-06,111.3,114.5,107.8,109.09,26500200.0
2020-01-07,109.01,109.64,107.41,108.5,13507544.0
2020-01-08,109.01,111.5,107.1,109.6,19224068.0
2020-01-09,112.0,115.5,110.01,115.0,20164351.0
2020-01-10,114.2,114.2,111.68,113.31,14428007.0
2020-01-13,116.0,118.48,114.2,116.9,21597445.0
2020-01-14,119.51,120.75,115.18,115.7,21768473.0
2020-01-15,115.7,117.58,112.21,115.3,17758720.0
2020-01-16,116.0,116.5,113.85,116.4,12934158.0
2020-01-17,116.36,117.56,114.0,115.08,14662407.0
2020-01-20,114.99,125.08,112.9,123.2,24892200.0
2020-01-21,122.51,123.0,120.46,121.65,14267108.0
2020-01-22,121.65,133.82,119.38,133.82,34991561.0
2020-01-23,132.5,137.0,125.1,130.57,35986224.0
2020-02-03,126.56,143.48,126.5,135.36,52634602.0
2020-02-04,145.77,148.9,140.01,148.9,35913583.0
2020-02-05,158.17,163.79,156.3,163.79,53082382.0
2020-02-06,155.01,169.89,152.99,169.89,57918993.0
2020-02-07,166.0,169.33,158.95,160.2,45499480.0
2020-02-10,161.0,168.58,160.0,165.26,37540921.0
2020-02-11,167.2,168.0,157.6,158.4,33994559.0
2020-02-12,153.55,161.84,152.03,159.65,32586206.0
2020-02-13,155.99,159.38,153.69,156.34,31360960.0
2020-02-14,158.9,159.9,148.86,149.9,43961853.0
2020-02-17,149.0,156.16,148.88,154.1,34447133.0
